epoch,count
2019-08-01,2886015
2019-08-02,2274772
2019-08-03,2347620
2019-08-04,3297826
2019-08-05,2919114
2019-08-06,2826625
2019-08-07,3461955
2019-08-08,4289245
2019-08-09,3718471
2019-08-10,3599228
2019-08-11,3261505
2019-08-12,3568445
2019-08-13,4125574
2019-08-14,4604148
2019-08-15,5570070
2019-08-16,6728235
2019-08-17,25281292
2019-08-18,39567186
2019-08-19,41257713
2019-08-20,37237780
2019-08-21,40609742
2019-08-22,38412502
2019-08-23,38097896
2019-08-24,35165533
2019-08-25,33269032
2019-08-26,13673204
2019-08-27,6108
2019-08-28,6120
2019-08-29,4520
2019-08-30,3233
2019-08-31,9624
