epoch,count
2000-01-31,16679
2000-02-29,1953
2000-03-31,2357
2000-04-30,1576
2000-05-31,2566
2000-06-30,2153
2000-07-31,1530
2000-08-31,0
2000-09-30,1828
2000-10-31,1850
2000-11-30,16017
2000-12-31,4744
2001-01-31,13451
2001-02-28,2961
2001-03-31,4007
2001-04-30,5847
2001-05-31,4125
2001-06-30,3805
2001-07-31,5806
2001-08-31,0
2001-09-30,3586
2001-10-31,6965
2001-11-30,6070
2001-12-31,14197
2002-01-31,5924
2002-02-28,8656
2002-03-31,5502
2002-04-30,7605
2002-05-31,5433
2002-06-30,5648
2002-07-31,5412
2002-08-31,0
2002-09-30,6827
2002-10-31,4842
2002-11-30,5274
2002-12-31,5223
2003-01-31,9945
2003-02-28,8609
2003-03-31,8829
2003-04-30,6538
2003-05-31,8629
2003-06-30,11317
2003-07-31,7812
2003-08-31,0
2003-09-30,8134
2003-10-31,9553
2003-11-30,8914
2003-12-31,7726
2004-01-31,8860
2004-02-29,9753
2004-03-31,11447
2004-04-30,11627
2004-05-31,13607
2004-06-30,10416
2004-07-31,8221
2004-08-31,0
2004-09-30,9798
2004-10-31,10775
2004-11-30,15702
2004-12-31,16485
2005-01-31,15526
2005-02-28,17105
2005-03-31,15082
2005-04-30,377913
2005-05-31,14636
2005-06-30,19117
2005-07-31,15283
2005-08-31,0
2005-09-30,16422
2005-10-31,17441
2005-11-30,27847
2005-12-31,16585
2006-01-31,19996
2006-02-28,19461
2006-03-31,19023
2006-04-30,20305
2006-05-31,23187
2006-06-30,16770
2006-07-31,28827
2006-08-31,0
2006-09-30,22207
2006-10-31,21789
2006-11-30,28471
2006-12-31,29097
2007-01-31,25325
2007-02-28,22057
2007-03-31,28638
2007-04-30,25276
2007-05-31,28905
2007-06-30,34376
2007-07-31,28132
2007-08-31,0
2007-09-30,32568
2007-10-31,35549
2007-11-30,29155
2007-12-31,33479
2008-01-31,37340
2008-02-29,36856
2008-03-31,39984
2008-04-30,41799
2008-05-31,38204
2008-06-30,48675
2008-07-31,39955
2008-08-31,0
2008-09-30,42234
2008-10-31,46595
2008-11-30,42319
2008-12-31,47297
2009-01-31,91646
2009-02-28,50426
2009-03-31,59728
2009-04-30,56406
2009-05-31,55796
2009-06-30,58956
2009-07-31,68055
2009-08-31,0
2009-09-30,66246
2009-10-31,80376
2009-11-30,69087
2009-12-31,63369
2010-01-31,86841
2010-02-28,63440
2010-03-31,76114
2010-04-30,79775
2010-05-31,93554
2010-06-30,70796
2010-07-31,72124
2010-08-31,0
2010-09-30,90656
2010-10-31,81125
2010-11-30,98309
2010-12-31,86221
2011-01-31,116634
2011-02-28,90335
2011-03-31,165751
2011-04-30,99638
2011-05-31,87887
2011-06-30,91074
2011-07-31,88008
2011-08-31,0
2011-09-30,100891
2011-10-31,92970
2011-11-30,102105
2011-12-31,98861
2012-01-31,122160
2012-02-29,105146
2012-03-31,123201
2012-04-30,114850
2012-05-31,134701
2012-06-30,148691
2012-07-31,127682
2012-08-31,0
2012-09-30,133053
2012-10-31,134597
2012-11-30,134294
2012-12-31,124459
2013-01-31,147306
2013-02-28,141393
2013-03-31,187806
2013-04-30,212299
2013-05-31,154627
2013-06-30,178544
2013-07-31,193195
2013-08-31,0
2013-09-30,165729
2013-10-31,156606
2013-11-30,176303
2013-12-31,165565
2014-01-31,189166
2014-02-28,153953
2014-03-31,202583
2014-04-30,180974
2014-05-31,167877
2014-06-30,184494
2014-07-31,217298
2014-08-31,0
2014-09-30,191860
2014-10-31,218441
2014-11-30,206043
2014-12-31,220432
2015-01-31,223920
2015-02-28,210753
2015-03-31,263232
2015-04-30,455263
2015-05-31,218568
2015-06-30,230188
2015-07-31,222644
2015-08-31,0
2015-09-30,297906
2015-10-31,295537
2015-11-30,267306
2015-12-31,268210
2016-01-31,291608
2016-02-29,283761
2016-03-31,332206
2016-04-30,323365
2016-05-31,375951
2016-06-30,301486
2016-07-31,390645
2016-08-31,0
2016-09-30,345810
2016-10-31,357504
2016-11-30,373872
2016-12-31,361262
2017-01-31,401271
2017-02-28,413231
2017-03-31,747123
2017-04-30,472995
2017-05-31,464975
2017-06-30,425981
2017-07-31,470717
2017-08-31,0
2017-09-30,540171
2017-10-31,548510
2017-11-30,599338
2017-12-31,556351
2018-01-31,660604
2018-02-28,613846
2018-03-31,1648229
2018-04-30,834004
2018-05-31,1822860
2018-06-30,945038
2018-07-31,1152355
2018-08-31,0
2018-09-30,3755511
2018-10-31,2474598
2018-11-30,2073008
2018-12-31,2835076
2019-01-31,3951279
2019-02-28,5208947
2019-03-31,5038872
2019-04-30,7300286
2019-05-31,8432466
2019-06-30,11832613
2019-07-31,29741553
